experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_2.fasta,10001,10001,158727,100170072,1066
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_2.fasta,10001,10001,137475,100330272,1066
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_2.fasta,10001,10001,119779,100490528,1066
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,292941,100030002,1130
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,171856,100170072,1130
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,162242,100330272,1130
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,223679,100490528,1130
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,185777,100170072,1130
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,154872,100330272,1130
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,132931,100490528,1130
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,277725,100030002,1098
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,156054,100170072,1098
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,154579,100330272,1098
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,196807,100490528,1098
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,157812,100170072,1098
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,138348,100330272,1098
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_4.fasta,10001,10001,120887,100490528,1098
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,295286,100030002,1125
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,173111,100170072,1125
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,163775,100330272,1125
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,225757,100490528,1125
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,187576,100170072,1125
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,156116,100330272,1125
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,132751,100490528,1125
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,277514,100030002,1099
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,154629,100170072,1099
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,153613,100330272,1099
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,196905,100490528,1099
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,157377,100170072,1099
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,137878,100330272,1099
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_8.fasta,10001,10001,121942,100490528,1099
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,294083,100030002,1105
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,170736,100170072,1105
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,163807,100330272,1105
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,225828,100490528,1105
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,187211,100170072,1105
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,158605,100330272,1105
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,136276,100490528,1105
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,281378,100030002,1077
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,155986,100170072,1077
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,155620,100330272,1077
